1,12,12,Drafted,NA,D.J. Hayden,D.J.,Hayden,CB,Houston,"5-11""","31-1/8""",191,"9""",Richard Marshall,NA,NA,4.42 sec,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,4
2,10,42,Drafted,NA,Menelik Watson,Menelik,Watson,OT,Florida State,"6-5""","34""",310,"10 3/8""",Jared Gaither,NA,NA,5.29 sec,"24 1/2""",103 inch,8.31 sec,5.01 sec,NA,NA,NA,NA,22,NA,5
3,4,66,Drafted,NA,Sio Moore,Sio,Moore,OLB,Connecticut,"6-1""","33 5/8""",245,"10 1/4""",Michael Boley,NA,NA,4.65 sec,"38""",127 inch,7.49 sec,4.31 sec,12.39 sec,29 reps,NA,NA,68,NA,7
4,15,112,Drafted,NA,Tyler Wilson,Tyler,Wilson,QB,Arkansas,"6-2""","31 3/8""",215,"8 3/4""",Brett Farve,NA,NA,4.95 sec,"28 1/2""",112 inch,7.22 sec,4.39 sec,NA,NA,NA,NA,72,NA,5
6,4,172,Drafted,NA,Nick Kasa,Nick,Kasa,TE,Colorado,"6-6""","32 7/8""",269,"9 1/8""",NA,NA,NA,4.71 sec,"31 1/2""",113 inch,NA,NA,NA,22  reps,NA,NA,183,NA,9
6,13,181,Drafted,NA,Latavius Murray,Latavius,Murray,RB,UCF,"6-3""",NA,223,NA,NA,NA,NA,4.39 sec,NA,NA,NA,NA,NA,NA,NA,NA,213,NA,18
6,16,184,Drafted,NA,Mychal Rivera,Mychal,Rivera,TE,Tennessee,"6-3""","32 5/8""",242,"10 1/4""",Dante Rosario,NA,NA,4.81 sec,31 inch,112 inch,7.17 sec,4.43 sec,NA,17 reps,NA,NA,255,NA,15
6,37,205,Drafted,NA,Stacy McGee,Stacy,McGee,DT,Oklahoma,"6-3""","34 1/2""",308,"9 3/4""",Ryan McBean,NA,NA,4.98 sec,NA,NA,NA,NA,NA,NA,NA,NA,314,NA,26
7,3,209,Drafted,NA,Brice Butler,Brice,Butler,WR,San Diego State,"6'3""",NA,214,NA,NA,NA,NA,4.39 sec,NA,NA,NA,NA,NA,NA,NA,NA,312,NA,37
7,27,233,Drafted,NA,David Bass,David,Bass,DE,Missouri Western,"6'4""","33 1/2""",262,"10 1/2""",NA,NA,NA,4.74 sec,"30 1/2""","9'3""",7.07 sec,NA,NA,20 reps,NA,NA,203,NA,16
0,0,0,Undrafted,NA,Billy Boyko,Billy,Boyko,LB,Lehigh,"6'2""",NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Adrian Bushell,Adrian,Bushell,DB,Louisville,"5'10""",NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Bobby Cowan,Bobby,Cowan,P,Idaho,"6'4""",NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Deveric Gallington,Deveric,Gallington,C,Texas Tech,"6'3""",NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Shelton Johnson,Shelton,Johnson,S,Wisconsin,"6'0""",NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Brian Leonhardt,Brian,Leonhardt,TE,Bemidji State,"6'5""",NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Lamar Mady,Lamar,Mady,G,Youngstown State,"6'2""",NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Sam McGuffie,Sam,McGuffie,WR,Rice,"5'10""",NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Kyle Padron,Kyle,Padron,QB,Eastern Washington,"6'3""",NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Adam Steiner,Adam,Steiner,LS,Akron,"6'2""",NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Kurt Taufa'asau,Kurt,Taufa'asau,DT,Wyoming,"6'2""",NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Conner Vernon,Conner,Vernon,WR,Duke,"6'0""",NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,JohnWetzel,John,Wetzel,T,Boston College,"6'7""",NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,Undrafted,NA,Deonte Williams,Deonte,Williams,RB,Cal Poly,"5'10""",NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
